ts,hypothesis,arm,market,tf,n_trades,pf,sharpe,expected_days,pass_rate,null_margin,verdict,prereg,params,note
2026-09-04,H-017,"**stage 28 profit-target sweep**: single-step 5% / 6% / 8% and the two-step 8%+5%, risk re-chosen inside the FIT window ","11 perps, 14",legs,0,nan,3.498,nan,nan,nan,?,,"{""source"": ""STRATEGY_LOG.md backfill""}","one-step: 5% → **9.7d all-in** (71.2% pass, median 7), 6% → 11.2d (70.0%, median 8), 8% → **11.4d** (68.8%, median 8). Two-step 8%+5% → **30.3d** (50.0%, median 20). Raising the target 5%→8% costs **1"
2026-09-04,H-018,"**stage 23**: inverse-realised-vol multiplier on the H-017 daily R stream; window, clip bounds and target vol all chosen","11 USDT-M perps, 14 legs",@0.50%,0,nan,nan,nan,nan,nan,?,,"{""source"": ""STRATEGY_LOG.md backfill""}","beats BOTH nulls - shuffled multiplier 36.1 (best seed 29.5), constant multiplier at the same mean leverage 41.5 - so the TIMING is real, not the leverage. But only +7.6% on all-in days, pass rate fal"
2026-09-04,H-018,"**stage 28, across all four structures**",same,,0,nan,3.446,nan,nan,nan,?,,"{""source"": ""STRATEGY_LOG.md backfill""}","vs baseline: 5% **worse** (10.1 vs 9.7), 6% better (10.6 vs 11.2), 8% better (10.0 vs 11.4), two-step better (28.0 vs 30.3). Margins 3-12%, and it loses outright at the lowest target. Combined with th"
2026-09-04,H-019,"**stage 24 FIRST RUN, INVALID**: cross-sectional mean of per-coin signed taker flow as a gate. Reported 30.3→23.4 days, ",11,perps,0,2.106,nan,23.4,nan,nan,?,,"{""source"": ""STRATEGY_LOG.md backfill""}","the factor was read with `searchsorted(right)-1`, which returns the 5m bar the trade ENTERS on - a bar that has not closed. `stage10_wide.asof` avoids this by shifting the feed index +5min before the "
2026-09-04,H-019,"**stage 24 corrected**: same gate, feed shifted +5min so a bar must CLOSE before it is readable. Sign, threshold, and st","11 perps, 14 legs",@0.50%,0,nan,nan,nan,nan,nan,DEAD,,"{""source"": ""STRATEGY_LOG.md backfill""}","worse than the H-017 baseline AND worse than its own null (shuffled factor 48.1, best seed 38.1). The J.Financial-Markets result does not carry: their 'world order flow' aggregates signed volume acros"
2026-09-04,H-020,**stage 25**: the 'stocks in play' selector ported to perps - trailing 24h volume over the median of the same window acr,"11 perps, 14 legs",@0.50%,0,nan,nan,nan,nan,nan,DEAD,,"{""source"": ""STRATEGY_LOG.md backfill""}","chose top-8 cross-sectionally; blind result is worse than baseline and worse than its own null (39.4, best seed 33.2). Even the FIT window only reached 26.6d, so it was weak in-sample too. Scope cavea"
2026-09-04,H-021,**stage 1 response test** (the H-008 killer test): 5m taker imbalance bucketed by CLOCK PHASE - :00/:15/:30/:45 vs :00 o,BTC ETH XRP SOL DOGE ADA,5m,0,nan,nan,nan,nan,nan,DEAD,,"{""source"": ""STRATEGY_LOG.md backfill""}",the clock DOES carry information and the control behaves: off-clock bars score −1.5 to −2.7bps while quarter-hour bars score +0.8 to +1.2 and the round hour +0.8 to +2.7. Quarter-hour advantage over t
2026-09-05,H-022,**stage 1 response** (the H-008 killer test): `absorb_k = z(signed taker flow over k) − z(log return over k)` — aggressi,"BTCUSDT 5m perp, 630,371",bars,0,nan,nan,nan,nan,nan,?,,"{""source"": ""STRATEGY_LOG.md backfill""}","signal is real and the mechanism direction is right: `absorbq_15m`@2h spread **−2.5bps**, monotone 1.00, same sign **7/7 years**, beats every null seed. Open interest and raw aggression stay flat, as "
2026-09-05,H-022,"**stage 2 tails**: same features cut at 10/5/2/1% tails on TRAILING thresholds (30-day window, recomputed daily, never f","BTCUSDT 5m perp, 300",cells,0,nan,nan,nan,nan,nan,DEAD,,"{""source"": ""STRATEGY_LOG.md backfill""}","tail concentration is real — median fade 0.31bps at 1% vs best cell **6.55bps** (`absorbq_1h`@4h, 4,721 trades, null best 3.53) — and still **18% short of the cheapest round trip that exists**. Worse "
2026-09-05,H-023,"**stage 12, the fill assumption measured on TICKS** — the thing this repo assumed and never checked. A buy limit placed ","BTCUSDT USDT-M aggTrades, 124M trades, 1",bars,0,nan,nan,nan,nan,nan,?,,"{""source"": ""STRATEGY_LOG.md backfill""}","**through-given-touch is 99.8-100% at every distance 5-80bps**, and 96-98% even assuming 10 BTC resting ahead. **Adverse selection ~0**: forward return 1h after a through-fill is within 0.08bps of aft"
2026-09-05,H-023,"**stage 13, FIRST RUN INVALID**: same VWAP configs priced four ways (board 14bps taker / limit-at-taker-cost / mixed 9bp","BTCUSDT 30m/1h/4h, 5,760 configs x 4 reg",costs,0,95.2,15.6,nan,nan,nan,?,,"{""source"": ""STRATEGY_LOG.md backfill""}","the control PASSED (fade +0.549 median PF at 2x, 89.2% of configs better; pullback +0.343, 100%; breakout **−0.061**, gate clears 419→0) but the headline configs are impossible — PF 27-95, Sharpe 15.5"
2026-09-05,H-023,"**engine fix**: FILL_LIMIT now rests the order during bar **i+1** using the band level from closed bar i, with gap-throu",—,,0,nan,nan,nan,nan,nan,?,,"{""source"": ""STRATEGY_LOG.md backfill""}","**No board number is affected: all 2,584 fold configs behind H-002/H-009/H-017 are `fill_mode=1`.** Corrected stage 13 re-run in flight"
2026-09-05,H-023,"**stage 13 corrected**, same configs priced four ways on the fixed engine","BTCUSDT 1h+4h, 8,640 paired",cells,0,1.877,nan,145.0,nan,nan,?,,"{""source"": ""STRATEGY_LOG.md backfill""}",control PASSES: maker pricing lifts fades **+0.266 median PF at 2x (95.3% of configs)** and does nothing for breakouts (**+0.008**). But the better entry PRICE is worth **+0.011** — the entire benefit
2026-09-05,H-023,"**stage 14, the cost lever at its floor**: H-009's own gated trade file re-priced across round trips using r(c) = r − (c","H-009 gated book, 8 legs / 3,808 trades ","1,912",0,nan,nan,nan,nan,nan,?,,"{""source"": ""STRATEGY_LOG.md backfill""}",14bps→**0bps** moves the book only **57→32 days** (8-leg) and **63→43** (5-leg). Full maker (4bps) gets 38/47. **Free execution buys 33-44% of the days; the 5-15 day target needs ~85%.** No execution 
2026-09-06,H-002,**walk-forward re-run on the fixed engine** — the verification the 09-05 session left unfinished,"10 markets x 5 TFs, 196 stitched",cells,0,nan,nan,nan,nan,nan,DEAD,,"{""source"": ""STRATEGY_LOG.md backfill""}","BTCUSDT cells clearing PF 1.20 at 2x: **11 → 0**; best BTC cell **2.305 → 0.882**. Not one BTC cell now reaches 1.0. XAUUSD went the other way (3 → 11 clears, best 1.461 → 1.762) — that is fold select"
2026-09-06,H-006,"the same stage-2 sweep, on the features that were H-006's actual winners","220 cells, 11 USD-M perps",5m,0,nan,nan,nan,nan,nan,NULL,,"{""source"": ""STRATEGY_LOG.md backfill""}","Survivors by feature: `crowd_z` median 8.06bps, `dcrowd_4h` 6.25, `disagree` 6.77 — each with **27.3%** of cells beating 1d, 1w AND 1mo block nulls, against `size_z`'s 0%. **At 4h**: BTC `dcrowd_4h` −"
2026-09-06,H-017,"**stage 10 rebuild on the fixed engine**, 11 coins x 5 TFs x topn 1/3/10",132,legs,0,nan,nan,nan,nan,nan,DEAD,,"{""source"": ""STRATEGY_LOG.md backfill""}","**1 of 132 legs clears PF 1.20 at 2x**, and it trades 0.31/day with K 0.001. topn=1 1/44, topn=3 0/44, topn=10 0/44. The 28.5d two-step / 9.7d one-step board numbers do not survive the fix"
2026-09-06,H-024,"**stage 1 response**: does resting-book imbalance rank forward returns? 17 features x 5 horizons, day-block null x5 seed","BTCUSDT 5m, 85",cells,0,nan,nan,nan,nan,nan,FAIL,,"{""source"": ""STRATEGY_LOG.md backfill""}","Signal is REAL: `imbz_2`@4h 2.5bps monotone **1.00**, 4/4 years, beats null; `imbxthin_1`@4h 4.1bps, 4/4 years, beats null — the thin-book interaction works as predicted, and direction is WITH the res"
2026-09-06,H-024,**stage 1 wide — the cap-curve test.** The literature says identical order-book features give Sharpe 0.25 on BTC and 5-9,"935 cells, 11 USD-M perps",5m,0,nan,nan,nan,nan,nan,?,,"{""source"": ""STRATEGY_LOG.md backfill""}","**0 of 935 cells clear a 14bps taker round trip.** 7 clear the 8bps maker gate, only 2 of those beat their null, and almost all are `_0.2` features that exist only from 2026-01-15 (1/1 years). Best ho"
2026-09-06,H-024,"**stage 2 — the cost model.** Walk the real resting book for a clip of S dollars, uniform-in-band, 11 coins, ~20k sample",11 USD-M,perps,0,nan,nan,nan,nan,nan,?,,"{""source"": ""STRATEGY_LOG.md backfill""}","One-way median impact on a **$50k clip**: BTC **0.018bps**, ETH 0.044, SOL 0.174, XRP 0.374, DOGE 0.476, BNB 0.430, LTC 0.927, ADA 0.979, LINK 1.074, AVAX 1.394, DOT 1.495. The repo assumes **2bps/sid"
2026-09-06,H-025,"**stage 1 response**: first forward-looking feed in the project. Level, change, variance risk premium, and the depth int","BTCUSDT + ETHUSDT 5m, 100",cells,0,nan,nan,nan,nan,nan,?,,"{""source"": ""STRATEGY_LOG.md backfill""}","ETH `dvolz`@4h 9.9bps (clears mixed 9 and maker 8), BTC `dvolz`@4h 8.9bps, ETH `ddvol_1d`@4h 9.0bps — all three beat the day-block null. Direction: **high implied vol → higher forward return**. Depth "
2026-09-06,H-025,"**stage 2**: the day-block null is too easy for a feature that persists for weeks — re-run at 1d / 1w / 1mo blocks, 20 s","BTCUSDT + ETHUSDT, 12",cells,0,nan,nan,nan,nan,nan,?,,"{""source"": ""STRATEGY_LOG.md backfill""}",**ETH's headline 9.9bps was a null artifact** — it fails the 1w (11.1) and 1mo (12.8) nulls. Survives all three block lengths: **BTC `dvolz`@4h 8.9bps** (nulls 5.4 / 6.7 / 7.6) and BTC/ETH `dvolz`@2h 
2026-09-06,H-026,"**stage 1**: accumulation/manipulation/distribution formalised, 4 session clocks, sweep-and-reclaim reversal, with conti","BTC/ETH/SOL 5m, ~1,400-2,200 events per",cell,0,nan,nan,nan,nan,nan,FAIL,,"{""source"": ""STRATEGY_LOG.md backfill""}","The reversal trade **loses gross** on BTC (−3.1 to −8.5bps) and ETH (−8.2 to −17.1) and wins on SOL (+7.8 to +14.6). **A sign that flips across three coins at ~1,500 events each is the signature of no"
2026-09-07,H-002,"20 post-fix walk-forward cells re-priced exactly to the **measured 1.83bps** round trip; one cell per timeframe, 26 comb",XAUUSD,5m+4h,0,1.849,nan,nan,nan,nan,?,,"{""source"": ""STRATEGY_LOG.md backfill""}",Best single cell 192.9 expected days → **100.2** for 5m+4h equally weighted. R/day 2.6x the single cell's while drawdown rises only 4.81R→8.00R: the two holds do not draw down together. Equal weight B
2026-09-07,H-002,the kernel re-implemented as a NautilusTrader strategy fed one bar at a time with no array to index into; run over the f,XAUUSD 5m (13 configs) + 1h (12,configs),0,nan,nan,nan,nan,nan,?,,"{""source"": ""STRATEGY_LOG.md backfill""}","5m 13/13 exact, 1h 11/12. Gold is no longer an unverified kernel. Three port bugs were found and fixed on the way and all three were MINE, not the kernel's: `atr_rank` ranked one bar early (cost 40% o"
2026-09-07,H-002,"XAUUSD 1h, MODE_TREND, midnight anchor, ATR stop, RR target — 87.5% entry match, traced to the first divergent bar",XAUUSD,1h,0,nan,nan,nan,nan,nan,?,,"{""source"": ""STRATEGY_LOG.md backfill""}","Dukascopy pads the closed FX weekend with synthetic bars: zero volume, last price repeated. A session made entirely of them has a volume-weighted sigma of exactly zero, but `vwstd = sqrt(p2v/v − vwap²"
2026-09-07,H-002,"every gold walk-forward trade tagged by whether its ENTRY bar had zero volume / was a flat high==low, open==close repeat","XAUUSD, 20 cells, 18,119",trades,0,nan,nan,nan,nan,nan,?,,"{""source"": ""STRATEGY_LOG.md backfill""}","**696 of 18,119 trades (3.84%)** enter on a zero-volume bar and they carry **6.04R of 724.30R (0.83%)**. On the board's book (5m floor100 top10 + 4h floor100 top1) removing all 58 of them *raises* PF "
2026-09-07,H-002,two corrections applied together: `sd <= 0.0` → `sd <= vwap·1e-6` (the float cancellation floor is price·sqrt(eps) ≈ 3e-,"XAUUSD 5m/15m/30m/1h/4h, 20",cells,0,nan,nan,nan,nan,nan,?,,"{""source"": ""STRATEGY_LOG.md backfill""}","15/20 cells clear PF 1.20 at 2x before AND after; the paired null goes 1/20 → 2/20. **21.5% of the XAUUSD series is Dukascopy weekend padding** (57,975 of 270,144 5m bars); 3.8% of trades were dropped"
2026-09-07,H-006,"**stage 9 arm A — drawdown vs HOLD LENGTH**, 2,940 configs x 3 coins, holds 2h-72h x stops 0/2/3 sigma, median max drawd",BTC/ETH/SOL perp,5m,0,nan,nan,nan,nan,nan,?,,"{""source"": ""STRATEGY_LOG.md backfill""}","The premise was that H-006's 63.5R drawdown came from its 8-72h hold. It does not. Shortening the hold makes drawdown **worse, monotonically**, and profit factor worse with it. Per trade too: 0.449R o"
2026-09-07,H-006,"**stage 9 arm B — walk-forward at a FIXED 4h hold**, 560 configs, stop 0/1.5/2/3 sigma selectable, config re-chosen blin",BTC/ETH/SOL perp,5m,0,0.878,nan,nan,nan,nan,FAIL,,"{""source"": ""STRATEGY_LOG.md backfill""}","Book PF@2x **0.646** against the 8-72h record's 1.050. Every coin fails: BTC 0.592, ETH 0.638, SOL 0.717. R/day is **negative** (−0.102). The signal is still there — real 0.646 beats every null seed ("
2026-09-07,H-016,"every leg re-priced exactly from stored 1x/2x to measured cost — XAUUSD 1.50→**0.915**bps/side, XAGUSD 2.25→**4.554**bps","XAUUSD 15m/30m/1h + XAGUSD 30m, `single`",rule,0,nan,nan,nan,nan,nan,?,,"{""source"": ""STRATEGY_LOG.md backfill""}","Gold's gain and silver's loss cancel almost exactly. The correction that was worth 0.33 PF and 60 days on the VWAP book is worth 0.011 PF and 1.3 days here, because half the book is the metal that got"
2026-09-07,H-016,"3 paired null seeds, cells clearing PF 1.20 at 2x, per symbol",XAUUSD 8 cells / XAGUSD 6,cells,0,nan,nan,nan,nan,nan,NULL,,"{""source"": ""STRATEGY_LOG.md backfill""}","XAUUSD **5 of 8** cells clear against the null's **1.0** mean (2/1/0). XAGUSD **2 of 6** against **3.67** (2/5/4), and the null's best cell **2.549** beats silver's real best **2.113**. Silver dropped"
2026-09-07,H-016,`live` bars added to `strategies/ribbon/engine.py`; signal bar and fill bar both refused when volume is zero. Walk-forwa,XAUUSD + XAGUSD,15m/30m/,0,nan,nan,nan,nan,nan,NULL,,"{""source"": ""STRATEGY_LOG.md backfill""}",Ribbon was **far more exposed than VWAP**: XAUUSD 1h took **25.19R of 54.25R** from dead-bar entries and 4h took **11.87R of 2.15R** — the 4h cell was negative without them. After the fix metals legs 
2026-09-09,H-027,"four arms on the SAME folds and costs: baseline grid (thr 0.5-1.5), higher bar (thr 1.5-3.0), fresh cross (one trade per",XAUUSD 1h +,4h,0,nan,nan,nan,nan,nan,?,,"{""source"": ""STRATEGY_LOG.md backfill""}","Every arm's noise band overlaps every other arm's, on both timeframes, so nothing here is evidence. Direction of the point estimates is against the idea: fewer trades is SLOWER on 3 of 4 comparisons a"
2026-09-09,H-027,"three arms, identical entries/folds/costs: baseline stop 0.75-2.0x VWAP-band sigma, WIDE 2.5-8.0x sigma, ATR 0.5-4.0x AT",XAUUSD 1h +,4h,0,nan,nan,nan,nan,nan,?,,"{""source"": ""STRATEGY_LOG.md backfill""}",Bands overlap everywhere: a wider stop does NOT fund an account sooner and no claim is made that it does. What it does change is the thing a human has to sit through — 4h win rate **8.0% -> 26.0%** wi
2026-09-09,H-027,"how many settings to run in parallel: top 1/3/5/10/15 x two eligibility floors x twelve risk sizes, wide-stop grid, iden",XAUUSD 1h +,4h,0,nan,0.93,nan,nan,nan,?,,"{""source"": ""STRATEGY_LOG.md backfill""}","Pass rate peaks at top3-top5 and falls after: 1h at 2% risk goes 54.3 / 60.6 / 59.8 / 54.2 / **44.6**% for top 1/3/5/10/15, and top15 reaches 60% at NO risk size. Each added setting is worse than the "
2026-09-09,H-027,"the frozen configuration - wide stop, five settings, floor30/top5 - run UNCHANGED on 10 markets x 2 timeframes, blind wa","10 markets, 1h +",4h,0,nan,0.5,nan,nan,nan,?,,"{""source"": ""STRATEGY_LOG.md backfill""}","ETH 1h is the finding: PF@2x **2.023**, 65.1% pass, 16.9 days, and it beats its own phase-randomised null - the same shape as gold on an unrelated market, which is the strongest evidence yet that the "
2026-09-09,H-027,what the blind fold selector maximises: profit factor at 2x cost (today) vs R per day vs R-per-day / maxDD - the identit,XAUUSD 1h +,4h,0,nan,nan,nan,nan,nan,?,,"{""source"": ""STRATEGY_LOG.md backfill""}","Ranking on days or on R/day is FASTER than profit factor on both timeframes - 4h goes 20.6 -> 10.3 expected days and pass rate 48.5% -> 58.2%, better on both counts. On 1h the profit-factor selector k"
2026-09-09,H-027,"the only two cells that clear PF 2.0 at 2x AND beat their null, traded together in one account at half risk each. Identi",XAUUSD 1h + ETHUSDT,1h,0,nan,nan,nan,nan,nan,?,,"{""source"": ""STRATEGY_LOG.md backfill""}","Daily-return correlation **-0.014** and both legs trade on only 7.7% of days, so the diversification is real rather than assumed. At 2% risk the book passes **72.7%** in **12.4** expected days against"
2026-09-09,H-027,"refuse a new entry while K positions are already open; same signals, same total risk, only the cap changes. Motivated by",XAUUSD,1h,0,nan,nan,nan,nan,nan,?,,"{""source"": ""STRATEGY_LOG.md backfill""}","Capping at two open positions lifts pass rate 65.8% -> **75.1%** and cuts blown accounts 29.5% -> **17.5%**, with the worst day improving -3.93% -> -3.41%. It costs days: 15.2 -> 20.0 expected, and th"
2026-09-09,H-027,"2,506 days of Dukascopy 1-minute candles downloaded into a separate cache so no board number moves; identical strategy, ","XAUUSD 1h, 2015-09 ->",2026-08,0,nan,0.88,nan,nan,nan,?,,"{""source"": ""STRATEGY_LOG.md backfill""}","Band width falls from **46.8% of the median to 24.5%** - more data does exactly what it was supposed to do. But the honest headline is 20.0 expected days, not 14.5, and 20.0 sits just OUTSIDE the thre"
2026-09-10,H-027,"funded account at 2% risk; profit accumulates from the last withdrawal, a withdrawal is possible at 1% of balance and PA",10 markets x 1h +,4h,0,nan,nan,nan,nan,nan,?,,"{""source"": ""STRATEGY_LOG.md backfill""}","Gold 1h: one day is **42.1%** of all net profit over 634 trading days, and **0 of 16** available withdrawals pass a 20% cap. ETH 1h is worse - **84.7%**, 0 of 8. Every profitable cell is over the cap "
2026-09-10,H-027,"forward return after a close finishes 1.0 sigma from its session VWAP, entered at the next open, held 24/96/384 hours, s",10 markets x 1h +,4h,0,nan,nan,nan,nan,nan,?,,"{""source"": ""STRATEGY_LOG.md backfill""}","Follow-through over a fortnight, mean by class: **metals +30.7bps, crypto +9.8, indices +8.4, FX -3.2, energy -23.5**. FX and oil FADE a VWAP band break; metals and crypto CONTINUE. Confirmed independ"
2026-09-10,H-027,"thr 1.0, stop 8 sigma, hold 384h, no session or rvol filter - no grid and no fold selection, so market effects are separ","10 markets x 1h + 4h, 4",arms,0,nan,0.11,nan,nan,nan,?,,"{""source"": ""STRATEGY_LOG.md backfill""}",Rank correlation between the fixed-config PF@2x and the walk-forward PF@2x across 20 cells is **0.231**; between the mechanism (follow-through) and the walk-forward it is **0.098**. Nineteen of twenty
2026-09-10,H-027,"sigma/cost per cell (median band sigma in bps over the round trip in bps), related to the walk-forward result inside the","metals + crypto, 10",cells,0,nan,nan,nan,nan,nan,FAIL,,"{""source"": ""STRATEGY_LOG.md backfill""}","BTC's break CONTINUES (+20.7bps at 4h) and its cells still die: sigma/cost is **3.8 on BTC 1h and 2.9 on BTC 4h against gold's 17.2**, so BTC hands ~30% of a one-sigma move to the venue where gold han"
2026-09-10,H-027,"Corwin-Schultz high-low spread estimator on 5m bars, CALIBRATED first on the four markets whose spread is measured from ","XAU, EUR, GBP, XAG (calibration) + BTC, ",SOL,0,nan,nan,nan,nan,nan,FAIL,,"{""source"": ""STRATEGY_LOG.md backfill""}","On markets where the spread IS known the estimator lands at 1.39x (XAU), 4.00x (EUR), 1.60x (GBP) and 0.58x (XAG) of the truth - a factor-of-seven spread of errors, so its crypto estimate cannot settl"
2026-09-10,H-027,"NAS100, SPX500, US30, USDCHF, NZDUSD, USDCAD - cached and never tested. Same two diagnostics as above, same window as th",6 markets x 1h +,4h,0,nan,nan,nan,nan,nan,?,,"{""source"": ""STRATEGY_LOG.md backfill""}","Indices carry positive follow-through (NAS100 4h +15.8bps, SPX500 4h +9.6, US30 4h +2.9) - the only new class that does - but sigma/cost is 3.9-7.7 against gold's 17.2 and **every fixed-config band co"
2026-09-10,H-027,"sum the walk-forward daily R by calendar quarter, delete the single best quarter, look at what is left. No statistics, n",all 20,cells,0,nan,nan,nan,nan,nan,?,,"{""source"": ""STRATEGY_LOG.md backfill""}","XAUUSD 1h: 188.4R total, best quarter 106.8R (**57%**), **+81.6R left** and 5 of 7 remaining quarters positive. **ETHUSDT 1h: 103.0R total, 97.0R of it in 2025Q3 alone (94%), leaving +6.0R** - the sec"
2026-09-10,H-027,"every cell that beats its null AND makes money at 2x cost (9 of 20), added best-PF-first at equal weight in one account;",9,cells,0,nan,nan,nan,nan,nan,?,,"{""source"": ""STRATEGY_LOG.md backfill""}",Expected days by leg count: 13.5 / 10.3 / **9.9** / 12.5 / 12.9 / 12.1 / 13.5 / 13.9 / 14.6. H-012's dilution arrives on schedule at the fourth leg. The best-day share falls almost linearly with size 
2026-09-10,H-027,"sweep the minimum withdrawal 1% to 30% of the account against basket size, counting withdrawals that pass a 20% best-day","1, 2, 3 and 9-leg",books,0,nan,nan,nan,nan,nan,?,,"{""source"": ""STRATEGY_LOG.md backfill""}","Waiting for a bigger withdrawal does not cure the rule: at a 30% minimum the count is still 0, because the extra profit still arrives on one day. Combined with the basket result this closes both of th"
2026-09-10,H-027,the exit axis Kris asked about: take HALF off at +1R or +2R and let the rest run; trail the stop 2R behind the best clos,XAUUSD 1h + ETHUSDT,1h,0,nan,0.9,nan,nan,nan,?,,"{""source"": ""STRATEGY_LOG.md backfill""}",Taking half off at +2R lifts the win rate 20.3->41.9% (gold) and 22.8->40.1% (ETH) with pace bands overlapping the baseline and profit factor still far above the 1.20 gate. **Partial 1R + trail 3R is 
2026-09-10,H-027,"the winning shape (half off at 1R, trail 3R) walk-forwarded on four legs, combined at equal weight, then swept across wi","XAU 1h/4h, ETH 1h, SOL",1h,0,nan,nan,nan,nan,nan,?,,"{""source"": ""STRATEGY_LOG.md backfill""}","Best day on gold falls to **12.0%** of net profit - the first arm ever measured under the 20% cap - and it still yields **0 payable withdrawals** at a 1% policy, because each individual withdrawal is "
2026-09-10,H-027,"a full exit at a fixed target of k x risk, k = 1,2,3,4,6,8,10,12, against the shipped no-target rule. Blind quarterly wa",XAUUSD,1h,0,nan,0.6,nan,nan,nan,NULL,,"{""source"": ""STRATEGY_LOG.md backfill""}","The headline confusion first: the traded rule's ""11.6:1"" is `avg win / avg loss` and the surprise is the DENOMINATOR - the average loser is **-0.205R and not one trade in 591 loses a full 1R**, becaus"
2026-09-10,H-027,"the flattest target arms (2R, 3R, 4R, 12R) swept across withdrawal size 1-30% of the account, counting withdrawals that ",XAUUSD,1h,0,nan,nan,nan,nan,nan,?,,"{""source"": ""STRATEGY_LOG.md backfill""}","A target flattens the daily distribution hard: the single best day falls from **42%** of net profit to **9%** (2R), 12% (3R, 4R, 12R) and 16-17% (1R, 10R). At a 1% withdrawal policy every one is still"
2026-09-10,H-027,recompute the band unweighted - a session TWAP with the same std - and compare the z series and the follow-through again,"XAU, XAG, ETH, BTC at",1h,0,nan,nan,nan,nan,nan,?,,"{""source"": ""STRATEGY_LOG.md backfill""}","z correlates **0.9977** (gold), 0.9983 (ETH), 0.9917 (BTC), 0.9792 (silver) between volume-weighted and time-weighted, and the UNWEIGHTED band has BETTER follow-through on three of four markets (gold "
2026-09-10,H-027,"the one VWAP-native axis never tested: UTC 00:00 (shipped), London, NY, weekly, rolling 4-day, rolling fortnight, daily+",XAUUSD 1h +,4h,0,nan,0.4,nan,nan,nan,?,,"{""source"": ""STRATEGY_LOG.md backfill""}","The shipped 00:00 UTC anchor is the **best on 1h and the worst on 4h**, and every arm that beats it on 4h loses to it on 1h. That is H-026's signature for no effect and the same shape that killed the "
2026-09-10,H-027,four arms that change WHAT A SIGNAL IS rather than filtering the existing ones: (1) value area - a real session volume h,XAUUSD 1h +,4h,0,nan,0.4,nan,nan,nan,DEAD,,"{""source"": ""STRATEGY_LOG.md backfill""}",**Value area LOSES to its own null on 1h** (0.942 vs 1.000) and the point of control is worse than the VWAP on both timeframes - measuring the session's shape does not beat assuming it. The pressure p
2026-09-10,H-027,"the two signals traded together in one account at equal weight, identical folds. Motivated by the ETH leg being 94% one ",XAUUSD 1h +,4h,0,nan,nan,nan,nan,nan,?,,"{""source"": ""STRATEGY_LOG.md backfill""}",Daily-return correlation between the vwap break and the asian range is **0.114 (1h) and 0.192 (4h)** - two genuinely different trades on the same instrument. Adding them does NOT speed the evaluation 
2026-09-10,H-027,"four size schedules declared in advance, scored on the same PASS/FAIL simulation with real breaches and `still_open` rep","XAUUSD 1h, 2% base",risk,0,nan,nan,nan,nan,nan,?,,"{""source"": ""STRATEGY_LOG.md backfill""}","Sizing proportional to the remaining drawdown budget takes pass rate **65.8% -> 77.0%** and blown accounts **29.5% -> 16.9%** for 1.7 expected days. `still_open` moves only 4.7% -> 6.2%, so this is no"
2026-09-10,H-027,"the last entry-side run: swing-anchored VWAP (pivot confirmed k bars after it prints, so the anchor moves only on confir","XAUUSD 1h + 4h, 9",arms,0,nan,0.4,nan,nan,nan,?,,"{""source"": ""STRATEGY_LOG.md backfill""}","**The percentage band is the only arm faster than the baseline on BOTH timeframes** (9.3 vs 11.7 on 1h, 12.8 vs 15.8 on 4h) while beating its own null on both (0.681, 0.562) - the consistency test tha"
2026-09-10,H-027,"the partial-2R exit and the Asian-range signal streamed through NautilusTrader one bar at a time, written from the RULE ","XAUUSD 1h, 22,512",bars,0,nan,nan,nan,nan,nan,PASS,,"{""source"": ""STRATEGY_LOG.md backfill""}","Entry-bar match **1.0000** on all twenty arm-configurations, exit-bar match 1.0000, `max"
2026-09-10,H-027,"baseline, partial 2R, Asian range and the 20bps percentage band re-run over 40 quarters of gold instead of 8, same walk-","XAUUSD 1h, 2015-09 -> 2026-08, 78,120",bars,0,nan,0.7,nan,nan,nan,?,,"{""source"": ""STRATEGY_LOG.md backfill""}","Over eleven years the baseline is still the quickest at 20.0 expected days, and **partial 2R and the Asian range sit OUTSIDE its band on the slow side** (21-27 against 18-23), so their slowness is rea"
2026-09-10,H-027,"six firm rule sets applied to the cached gold daily series under flat sizing and under the adopted budget-linear sizing,",XAUUSD,1h,0,nan,nan,nan,nan,nan,?,,"{""source"": ""STRATEGY_LOG.md backfill""}","Under flat sizing FundingPips Flex needed 20.5 days and CTI 17.3; with budget-linear sizing they are 23.3 and 22.8, and **CTI moves ahead** because its structure has no daily cap at all and the sizing"
2026-09-10,H-028,synthetic USD index (EURUSD/USDJPY/GBPUSD/USDCAD/USDCHF at DXY weights) regressed on gold at lags 0-8,"XAUUSD 15m, 66,971 live",bars,0,nan,nan,nan,nan,nan,FAIL,,"{""source"": ""STRATEGY_LOG.md backfill""}","corr −0.356 at lag 0 (R² 12.7%), **−0.008 at lag 1**, ~0 at lags 2-8: repricing completes inside the bar. Top-5% dollar moves → next gold bar +0.095bps, t=0.26, against ≥1.06bps round trip. Yearly mea"
2026-09-10,H-028,"event study on the 30m bar starting at each London gold fix, weekdays, vs all-hours baseline","XAUUSD 30m, 35,366 live",bars,0,nan,nan,nan,nan,nan,FAIL,,"{""source"": ""STRATEGY_LOG.md backfill""}","AM 10:30 +0.481bps t=1.02 sign-consistency 53.0%; PM 15:00 −0.626bps t=−0.52, 49.6%. Best mechanism on the shortlist (scheduled auction, dealers must hedge) and it is simply not there. Window is entir"
